wavelength	drop1	drop2	drop3	drop4	drop5	drop6	drop7	drop8	through
1547.10000000	0.00933868	0.00912818	0.00905801	0.00912818	0.00876011	0.00892278	0.00907242	0.00904525	0.65984847
1547.20000000	0.00936510	0.00915486	0.00914212	0.00915486	0.00877835	0.00893278	0.00908950	0.00904873	0.64960514
1547.30000000	0.00948382	0.00908919	0.00919739	0.00921649	0.00883873	0.00895820	0.00921636	0.00911872	0.63816442
1547.40000000	0.00951969	0.00913152	0.00918879	0.00918242	0.00889458	0.00898274	0.00931771	0.00923779	0.63978457
1547.50000000	0.00950779	0.00929764	0.00943774	0.00950779	0.00904768	0.00917677	0.00950104	0.00942895	0.63958520
1547.60000000	0.00971180	0.00948209	0.00947570	0.00953951	0.00913103	0.00929219	0.00957333	0.00948834	0.62964111
1547.70000000	0.00983786	0.00965224	0.00963304	0.00978666	0.00923204	0.00947840	0.00976285	0.00972355	0.64418161
1547.80000000	0.00990897	0.00967121	0.00987042	0.00992825	0.00951709	0.00964422	0.01009571	0.00996501	0.63109702
1547.90000000	0.01010300	0.00990288	0.00998034	0.01010300	0.00965971	0.00985807	0.01031113	0.01022811	0.64776464
1548.00000000	0.01034160	0.01018589	0.01025726	0.01041296	0.00983306	0.01011971	0.01049380	0.01044813	0.64354993
1548.10000000	0.01060997	0.01039477	0.01059693	0.01070126	0.01010849	0.01050054	0.01096316	0.01087773	0.65258110
1548.20000000	0.01074169	0.01064993	0.01080067	0.01089898	0.01024644	0.01068690	0.01110254	0.01103150	0.62475701
1548.30000000	0.01103429	0.01075778	0.01110671	0.01116597	0.01052076	0.01093093	0.01156099	0.01141733	0.64529800
1548.40000000	0.01149937	0.01108962	0.01139363	0.01153903	0.01085832	0.01127494	0.01196133	0.01184951	0.65270290
1548.50000000	0.01188238	0.01146488	0.01182937	0.01199504	0.01113772	0.01154506	0.01232772	0.01227974	0.65367500
1548.60000000	0.01201986	0.01150216	0.01201986	0.01218579	0.01137827	0.01193185	0.01269300	0.01254765	0.63835864
1548.70000000	0.01253759	0.01190008	0.01236493	0.01245126	0.01163545	0.01229852	0.01312941	0.01280561	0.61696493
1548.80000000	0.01301481	0.01225782	0.01290192	0.01302145	0.01212867	0.01263472	0.01392438	0.01363978	0.61717458
1548.90000000	0.01330311	0.01255299	0.01315707	0.01339605	0.01240064	0.01298620	0.01421654	0.01395273	0.61590659
1549.00000000	0.01379257	0.01286997	0.01366646	0.01372619	0.01262571	0.01340614	0.01475964	0.01436591	0.61428735
1549.10000000	0.01428179	0.01328585	0.01412244	0.01433491	0.01301617	0.01393441	0.01549697	0.01500763	0.59141058
1549.20000000	0.01516281	0.01367443	0.01471098	0.01491031	0.01349149	0.01433809	0.01633769	0.01574354	0.58583912
1549.30000000	0.01548426	0.01424046	0.01536453	0.01549756	0.01401687	0.01496200	0.01711383	0.01658678	0.57664754
1549.40000000	0.01605509	0.01487643	0.01615498	0.01621491	0.01462006	0.01575410	0.01820638	0.01744858	0.58184534
1549.50000000	0.01693421	0.01548081	0.01694755	0.01695421	0.01508745	0.01675487	0.01952688	0.01841829	0.55389227
1549.60000000	0.01762036	0.01597846	0.01799412	0.01801415	0.01597457	0.01758912	0.02091964	0.01973614	0.54953962
1549.70000000	0.01854749	0.01687714	0.01914213	0.01919558	0.01690643	0.01867189	0.02271960	0.02108948	0.54125214
1549.80000000	0.01984443	0.01814558	0.02025242	0.02031930	0.01768018	0.01953168	0.02440082	0.02266974	0.52797540
1549.90000000	0.02096456	0.01912991	0.02204928	0.02216311	0.01901642	0.02175186	0.02736200	0.02508570	0.52608827
1550.00000000	0.02250545	0.02034004	0.02354457	0.02332334	0.01976338	0.02291640	0.02931581	0.02658391	0.50451684
1550.10000000	0.02393301	0.02148936	0.02538308	0.02512798	0.02113858	0.02433272	0.03299908	0.02923680	0.47368970
1550.20000000	0.02613358	0.02326944	0.02763961	0.02775390	0.02289238	0.02679448	0.03650512	0.03241640	0.45302075
1550.30000000	0.02841556	0.02521039	0.03020668	0.03024708	0.02424031	0.02859548	0.04094978	0.03509227	0.44057491
1550.40000000	0.03160662	0.02739196	0.03302949	0.03317785	0.02624793	0.03201163	0.04651278	0.03929701	0.39558530
1550.50000000	0.03474876	0.02999495	0.03763211	0.03683531	0.02834327	0.03571155	0.05412515	0.04350105	0.35264390
1550.60000000	0.03979958	0.03318772	0.04230776	0.04200353	0.03090107	0.03938867	0.06269012	0.04864905	0.30213107
1550.70000000	0.04476423	0.03692676	0.04728873	0.04747823	0.03383047	0.04288120	0.07261902	0.05336215	0.25934635
1550.80000000	0.05134820	0.04135367	0.05458033	0.05291345	0.03687916	0.04856843	0.08512161	0.05554808	0.20120690
1550.90000000	0.06052219	0.04758998	0.06264590	0.06075967	0.03991219	0.05364980	0.09879081	0.05572262	0.13388079
1551.00000000	0.07226955	0.05453857	0.07553167	0.07092392	0.04293188	0.06052496	0.11106458	0.04903184	0.06463524
1551.10000000	0.08763490	0.06276563	0.08967783	0.08075704	0.04566539	0.06479017	0.11737847	0.03328274	0.02477816
1551.20000000	0.10772494	0.07455360	0.10657145	0.09266816	0.04592638	0.06468452	0.09351273	0.01321803	0.00787649
1551.30000000	0.14905117	0.09185274	0.13291108	0.09736732	0.04057713	0.05458427	0.04466280	0.00654648	0.00611695
1551.40000000	0.18689059	0.10446669	0.14758527	0.09466608	0.03091582	0.03839041	0.01829745	0.00746150	0.00620353
1551.50000000	0.25435449	0.11901129	0.14932432	0.06962373	0.01654008	0.01657250	0.00706768	0.00649111	0.00624297
1551.60000000	0.34564201	0.11651798	0.12027152	0.02807919	0.00732995	0.00681298	0.00622095	0.00621613	0.00616186
